den,datum,kraj_nuts_kod,kraj_nazev,okres_lau_kod,okres_nazev,orp_kod,orp_nazev,obec_kod,obec_nazev,nove_pripady,aktivni_pripady,nove_pripady_65,nove_pripady_7_dni,nove_pripady_14_dni
pátek,"3/5/2021 12:00:00 AM",CZ010,"Hlavní město Praha",CZ0100,Praha,0,Praha,554782,Praha,0,20204,0,9176,19202
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",572021,Vrátno,0,2,0,1,2
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0206,Mělník,2011,"Kralupy nad Vltavou",571792,Kozomín,0,14,0,7,14
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",570826,Kosmonosy,0,109,0,63,106
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2020,Příbram,564508,Dubno,0,5,0,2,5
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020C,Rakovník,2021,Rakovník,565512,Václavy,0,0,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0207,"Mladá Boleslav",2015,"Mladá Boleslav",565644,Mečeříž,0,8,0,4,6
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0203,Kladno,2024,Slaný,513032,"Kamenný Most",0,7,0,4,6
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2006,"Český Brod",513393,Přistoupim,0,8,0,6,8
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0204,Kolín,2010,Kolín,513202,Zalešany,0,6,0,3,5
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2025,Vlašim,530212,Načeradec,0,16,0,5,16
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2001,Benešov,530441,"Poříčí nad Sázavou",0,28,0,7,28
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ020B,Příbram,2023,Sedlčany,530573,Sedlec-Prčice,0,40,0,17,36
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2025,Vlašim,530514,Psáře,0,0,0,0,0
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2001,Benešov,530841,"Týnec nad Sázavou",0,158,0,56,152
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0201,Benešov,2025,Vlašim,530816,"Trhový Štěpánov",0,29,0,13,30
pátek,"3/5/2021 12:00:00 AM",CZ020,"Středočeský kraj",CZ0202,Beroun,2002,Beroun,531952,Všeradice,0,3,0,2,4
