den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7
neděle,2020-03-01,2021,Rakovník,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,5215,Vrchlabí,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,8006,Frýdek-Místek,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,2022,Říčany,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,8007,"Frýdlant nad Ostravicí",0,0,0,0,0,0,0,0,0
neděle,2020-03-01,5301,"Česká Třebová",0,0,0,0,0,0,0,0,0
neděle,2020-03-01,2023,Sedlčany,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,5302,Hlinsko,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,8008,Havířov,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,2024,Slaný,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,8009,Hlučín,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,2025,Vlašim,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,5303,Holice,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,5304,Chrudim,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,8010,Jablunkov,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,2026,Votice,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,5305,Králíky,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,8011,Karviná,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,3101,Blatná,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,5306,Lanškroun,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,3102,"České Budějovice",0,0,0,0,0,0,0,0,0
neděle,2020-03-01,8012,Kopřivnice,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,5307,Litomyšl,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,3103,"Český Krumlov",0,0,0,0,0,0,0,0,0
neděle,2020-03-01,8013,Kravaře,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,5308,"Moravská Třebová",0,0,0,0,0,0,0,0,0
neděle,2020-03-01,8014,Krnov,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,3104,Dačice,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,5309,Pardubice,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,8015,"Nový Jičín",0,0,0,0,0,0,0,0,0
neděle,2020-03-01,3105,"Jindřichův Hradec",0,0,0,0,0,0,0,0,0
neděle,2020-03-01,8016,Odry,0,0,0,0,0,0,0,0,0
neděle,2020-03-01,3106,Kaplice,0,0,0,0,0,0,0,0,0
